feature,mean_absolute_shap
month_cos,18.818124656338615
pm25_median,16.740292395687085
pm25_mean,11.364881159129004
pm25_lag_24h,7.762269907988142
day_of_year,7.165365922083494
pressure,6.422884893346476
pm25_lag_1h,4.730760608813887
temperature,4.619106653996266
hour_cos,3.8025549981640534
pm25_max,2.4566407782546644
sensor_count,2.168355284597063
month_sin,1.678820517038248
hour_of_day,1.44870465851471
hour_sin,1.2485151334680775
pm25_rolling_mean_3h,1.1099325867528287
pm25_rolling_std_24h,1.0490576745289855
humidity,1.0401718642473243
day_of_week,1.037590525244319
pm25_lag_12h,0.8064553879649793
pm25_rolling_mean_24h,0.7313084991086424
clouds,0.61789361410678
pm25_rolling_mean_6h,0.6136689049833007
wind_speed,0.605646476260538
pm25_lag_3h,0.5839242524769507
pm25_lag_6h,0.5532205768214267
pm25_change_24h,0.49719176876610666
pm25_change_1h,0.28615091684812977
month,0.2300860018149218
is_weekend,0.087378433612539
