feature,mean_absolute_shap
pm25_median,1605.36557505055
pm25_lag_1h,1416.0806336975745
pm25_lag_24h,949.7896565485611
pm25_lag_3h,904.0809609220834
pressure,719.6323803249685
pm25_mean,593.6727688270704
pm25_lag_12h,434.50967870346636
pm25_rolling_mean_24h,308.43056706351916
pm25_rolling_mean_3h,249.51977945307374
pm25_lag_6h,166.69206744549462
pm25_rolling_mean_6h,149.02491874434216
day_of_year,144.09019349921448
pm25_rolling_std_24h,118.58611891777316
pm25_max,98.03090665571854
clouds,50.62122678430147
pm25_change_24h,36.08418356289995
pm25_change_1h,35.76367143397286
sensor_count,26.77837628001395
humidity,24.868538227708896
hour_of_day,18.942817218463492
month,14.972326023750593
temperature,9.821192045598215
month_cos,7.2637337320363
wind_speed,6.543201240950046
hour_sin,5.064926497596455
hour_cos,3.3908175318166873
month_sin,2.653172844428671
day_of_week,0.9600093857948292
is_weekend,0.13839260852623717
