horizon,fold,model,evaluation_rows,mae,rmse
day_2,3,random_forest_residual,20,43.13491272868958,51.646775373150845
day_2,3,extra_trees_residual,20,44.53252861639381,54.06864739058115
day_2,3,hist_gradient_residual,20,44.47010903315602,54.64280036432953
day_2,4,persistence,20,35.06905851763782,46.604504220096366
day_2,4,ridge_residual,20,33.59511644970498,43.44347813280254
day_2,4,random_forest_residual,20,37.67599714654674,50.889094566324424
day_2,4,extra_trees_residual,20,36.051511905941034,47.882639943503854
day_2,4,hist_gradient_residual,20,38.178056028796995,49.67253587789279
day_2,5,persistence,20,51.79724044434691,77.58870858697159
day_2,5,ridge_residual,20,75.79736150153967,90.2109915378933
day_2,5,random_forest_residual,20,58.20241501479518,75.25648168783876
day_2,5,extra_trees_residual,20,60.39371268078327,78.52823794984373
day_2,5,hist_gradient_residual,20,56.50277270106456,69.46081148420522
day_2,6,persistence,20,44.40617346994569,69.845281084551
day_2,6,ridge_residual,20,43.10941429784091,57.423519763930145
day_2,6,random_forest_residual,20,42.50562823677517,65.21245379657528
day_2,6,extra_trees_residual,20,43.11200242694082,68.08953660042657
day_2,6,hist_gradient_residual,20,44.07487526637087,65.53098248328317
day_2,7,persistence,20,13.35304246525763,18.55106789032641
day_2,7,ridge_residual,20,37.15912318693313,41.502415479005634
day_2,7,random_forest_residual,20,12.890102643452702,16.05180247525955
day_2,7,extra_trees_residual,20,12.623660951424506,16.08475272260215
day_2,7,hist_gradient_residual,20,14.867822156340637,19.292918428765812
day_2,8,persistence,20,37.39373708570711,50.187745120607026
day_2,8,ridge_residual,20,39.912510470150345,52.11161310054599
day_2,8,random_forest_residual,20,33.92385956252658,46.15270822685834
day_2,8,extra_trees_residual,20,33.50800435785011,45.088525494457045
day_2,8,hist_gradient_residual,20,39.49403750980108,46.208789409066675
day_3,1,persistence,20,50.846288849362594,63.01334646976567
day_3,1,ridge_residual,20,37.74682743695669,49.03664680559285
day_3,1,random_forest_residual,20,36.200634001708096,44.16177274403075
day_3,1,extra_trees_residual,20,41.35253070000458,49.577761750515236
day_3,1,hist_gradient_residual,20,36.524197628639,45.52960070199866
day_3,2,persistence,20,42.6174501364995,54.43025582366921
day_3,2,ridge_residual,20,34.356475012923234,41.95062084411776
day_3,2,random_forest_residual,20,32.95839506836424,41.124807222638886
day_3,2,extra_trees_residual,20,33.01829802434214,43.148845513942966
day_3,2,hist_gradient_residual,20,32.96343401047038,41.46954426268922
day_3,3,persistence,20,34.65870995052881,45.87465926998482
day_3,3,ridge_residual,20,33.29959228789973,43.527247577352796
day_3,3,random_forest_residual,20,30.385262880451176,38.880035378347536
day_3,3,extra_trees_residual,20,30.658010622813446,40.26885439910734
day_3,3,hist_gradient_residual,20,30.865666396533374,38.86498097024196
day_3,4,persistence,20,74.58889024146347,94.60234025309197
day_3,4,ridge_residual,20,75.00303539962381,92.7328975927035
day_3,4,random_forest_residual,20,80.79969168987914,99.5751717460556
day_3,4,extra_trees_residual,20,77.57586893944774,97.03589255778788
day_3,4,hist_gradient_residual,20,83.5044195285715,101.72717880767385
day_3,5,persistence,20,37.213051467292175,57.26521401750384
day_3,5,ridge_residual,20,63.52228474357948,76.76292046525978
day_3,5,random_forest_residual,20,40.27774499006282,56.383194673512186
day_3,5,extra_trees_residual,20,40.90918018673596,56.28078564806984
day_3,5,hist_gradient_residual,20,40.66167402122419,59.24476275112291
day_3,6,persistence,20,28.37460060526156,48.34963702926585
day_3,6,ridge_residual,20,34.52839210481284,43.07746008987177
day_3,6,random_forest_residual,20,30.92695283717594,56.39485828098155
day_3,6,extra_trees_residual,20,29.329473022082766,53.2632891359485
day_3,6,hist_gradient_residual,20,35.9902667250726,55.72108506003312
day_3,7,persistence,20,25.405241780936365,31.461715707933063
day_3,7,ridge_residual,20,42.656777780825415,48.21575471399719
day_3,7,random_forest_residual,20,23.815640612485915,29.797569511412238
day_3,7,extra_trees_residual,20,23.790695984297123,29.290597987586207
day_3,7,hist_gradient_residual,20,25.451466770508397,29.648514884011448
