horizon,fold,model,evaluation_rows,mae,rmse,r2
day_2,3,persistence,20,51.08230680097497,59.22200465289055,-1.3875914733918222
day_2,3,ridge,20,44.276511784891774,52.687391993904214,-0.8897624468170757
day_2,3,random_forest,20,43.280325983279646,50.370470885413894,-0.7272127403584099
day_2,3,extra_trees,20,45.1195226639454,52.36707440601144,-0.866854344313672
day_2,3,hist_gradient_boosting,20,47.14919299401305,58.777702546354725,-1.3519009338695778
day_2,4,persistence,20,35.06905851763782,46.604504220096366,0.18834139464482824
day_2,4,ridge,20,33.59514719888048,43.44357927006459,0.2947082381392797
day_2,4,random_forest,20,36.0924962100537,55.33833772073403,-0.14437887388940362
day_2,4,extra_trees,20,34.88374537065679,52.53472119486683,-0.031360457371720996
day_2,4,hist_gradient_boosting,20,45.93492252698323,62.7761047048902,-0.472673055213531
day_2,5,persistence,20,51.79724044434691,77.58870858697159,0.6393009355620917
day_2,5,ridge,20,75.79785367849121,90.21156137215507,0.5123902641985323
day_2,5,random_forest,20,85.09821555335226,102.93186633558444,0.3651842929307051
day_2,5,extra_trees,20,81.4507645215164,98.88432012930127,0.4141278782297997
day_2,5,hist_gradient_boosting,20,77.92995139311833,102.16010116050444,0.37466808007839303
day_2,6,persistence,20,44.40617346994569,69.845281084551,-0.7516268253292218
day_2,6,ridge,20,43.109597693706505,57.42394591860353,-0.18400493515802774
day_2,6,random_forest,20,49.46608783041428,62.44167517773325,-0.3999629433091887
day_2,6,extra_trees,20,47.994624892551386,61.30365879589893,-0.3493985507216053
day_2,6,hist_gradient_boosting,20,49.689213643910506,65.40726851362554,-0.5360999476795245
day_2,7,persistence,20,13.35304246525763,18.55106789032641,-1.3093787980822476
day_2,7,ridge,20,37.158815955603146,41.50224697761366,-10.558475740506582
day_2,7,random_forest,20,16.363235435905654,17.824463738548726,-1.1320151679067045
day_2,7,extra_trees,20,13.098038274273824,14.98718293184043,-0.5072918862030635
day_2,7,hist_gradient_boosting,20,19.98030806073587,23.481331492885488,-2.7000090305793805
day_2,8,persistence,20,37.39373708570711,50.187745120607026,-0.9055886011407153
day_2,8,ridge,20,39.91280086251197,52.11220658893769,-1.0545310285469398
day_2,8,random_forest,20,31.39872147569448,39.08152183708579,-0.15551799302658598
day_2,8,extra_trees,20,31.10868381095246,39.113433771111794,-0.15740583501691519
day_2,8,hist_gradient_boosting,20,29.761478063569086,37.17897629854646,-0.04575183154683882
day_3,1,persistence,20,50.846288849362594,63.01334646976567,-2.09606540849388
day_3,1,ridge,20,37.74687650087503,49.03651220230023,-0.8749262252983931
day_3,1,random_forest,20,32.85723054333856,40.53355466822027,-0.2810746035505376
day_3,1,extra_trees,20,35.13313308573346,43.19508156245118,-0.4548346463004882
day_3,1,hist_gradient_boosting,20,41.110124635364805,52.5234948540828,-1.1510587396022163
day_3,2,persistence,20,42.6174501364995,54.43025582366921,-2.02142522055486
